Dataset_ID	Sample_ID	Platform_ID	disease_state
GSE28821	GSM713734	GPL570	invasive mammary carcinoma
GSE28821	GSM713735	GPL570	invasive mammary carcinoma
GSE28821	GSM713736	GPL570	invasive mammary carcinoma
GSE28821	GSM713737	GPL570	invasive mammary carcinoma
GSE28821	GSM713738	GPL570	invasive mammary carcinoma
GSE28821	GSM713739	GPL570	invasive mammary carcinoma
GSE28821	GSM713740	GPL570	invasive mammary carcinoma
GSE28821	GSM713741	GPL570	invasive mammary carcinoma
GSE28821	GSM713742	GPL570	invasive mammary carcinoma
GSE28821	GSM713743	GPL570	invasive mammary carcinoma
GSE28821	GSM713744	GPL570	invasive mammary carcinoma
GSE28821	GSM713745	GPL570	invasive mammary carcinoma
GSE28821	GSM713746	GPL570	invasive mammary carcinoma
GSE28821	GSM713747	GPL570	invasive mammary carcinoma
GSE28821	GSM713748	GPL570	invasive mammary carcinoma
GSE28821	GSM713749	GPL570	invasive mammary carcinoma
GSE28821	GSM713750	GPL570	invasive mammary carcinoma
GSE28821	GSM713751	GPL570	invasive mammary carcinoma
GSE28821	GSM713752	GPL570	invasive mammary carcinoma
GSE28821	GSM713753	GPL570	invasive mammary carcinoma
GSE28821	GSM713754	GPL570	invasive mammary carcinoma
GSE28821	GSM713755	GPL570	invasive mammary carcinoma
GSE28821	GSM713756	GPL570	invasive mammary carcinoma
GSE28821	GSM713757	GPL570	invasive mammary carcinoma
GSE28821	GSM713758	GPL570	invasive mammary carcinoma
GSE28821	GSM713759	GPL570	invasive mammary carcinoma
GSE28821	GSM713760	GPL570	invasive mammary carcinoma
GSE28821	GSM713761	GPL570	invasive mammary carcinoma
GSE28821	GSM713762	GPL570	invasive mammary carcinoma
GSE28821	GSM713763	GPL570	invasive mammary carcinoma
GSE28821	GSM713764	GPL570	invasive mammary carcinoma
GSE28821	GSM713765	GPL570	invasive mammary carcinoma
GSE28821	GSM713766	GPL570	invasive mammary carcinoma
GSE28821	GSM713767	GPL570	invasive mammary carcinoma
GSE28821	GSM713768	GPL570	invasive mammary carcinoma
GSE28821	GSM713769	GPL570	invasive mammary carcinoma
GSE28821	GSM713770	GPL570	invasive mammary carcinoma
GSE28821	GSM713771	GPL570	invasive mammary carcinoma
GSE28821	GSM713772	GPL570	invasive mammary carcinoma
GSE28821	GSM713773	GPL570	invasive mammary carcinoma
GSE28821	GSM713774	GPL570	invasive mammary carcinoma
GSE28821	GSM713775	GPL570	invasive mammary carcinoma
GSE28821	GSM713776	GPL570	invasive mammary carcinoma
GSE28821	GSM713777	GPL570	invasive mammary carcinoma
GSE28821	GSM713778	GPL570	invasive mammary carcinoma
GSE28821	GSM713779	GPL570	invasive mammary carcinoma
GSE28821	GSM713780	GPL570	invasive mammary carcinoma
GSE28821	GSM713781	GPL570	invasive mammary carcinoma
GSE28821	GSM713782	GPL570	invasive mammary carcinoma
GSE28821	GSM713783	GPL570	invasive mammary carcinoma
GSE28821	GSM713784	GPL570	invasive mammary carcinoma
GSE28821	GSM713785	GPL570	invasive mammary carcinoma
GSE28821	GSM713786	GPL570	invasive mammary carcinoma
GSE28821	GSM713787	GPL570	invasive mammary carcinoma
GSE28821	GSM713788	GPL570	invasive mammary carcinoma
GSE28821	GSM713789	GPL570	invasive mammary carcinoma
GSE28821	GSM713790	GPL570	invasive mammary carcinoma
GSE28821	GSM713791	GPL570	invasive mammary carcinoma
GSE28821	GSM713792	GPL570	invasive mammary carcinoma
GSE28821	GSM713793	GPL570	invasive mammary carcinoma
GSE28821	GSM713794	GPL570	invasive mammary carcinoma
GSE28821	GSM713795	GPL570	invasive mammary carcinoma
GSE28821	GSM713796	GPL570	invasive mammary carcinoma
GSE28821	GSM713797	GPL570	invasive mammary carcinoma
GSE28821	GSM713798	GPL570	invasive mammary carcinoma
GSE28821	GSM713799	GPL570	invasive mammary carcinoma
GSE28821	GSM713800	GPL570	invasive mammary carcinoma
GSE28821	GSM713801	GPL570	invasive mammary carcinoma
GSE28821	GSM713802	GPL570	invasive mammary carcinoma
GSE28821	GSM713803	GPL570	invasive mammary carcinoma
GSE28821	GSM713804	GPL570	invasive mammary carcinoma
GSE28821	GSM713805	GPL570	invasive mammary carcinoma
GSE28821	GSM713806	GPL570	invasive mammary carcinoma
GSE28821	GSM713807	GPL570	invasive mammary carcinoma
GSE28821	GSM713808	GPL570	invasive mammary carcinoma
GSE28821	GSM713809	GPL570	invasive mammary carcinoma
GSE28821	GSM713810	GPL570	invasive mammary carcinoma
GSE28821	GSM713811	GPL570	invasive mammary carcinoma
GSE28821	GSM713812	GPL570	invasive mammary carcinoma
GSE28821	GSM713813	GPL570	invasive mammary carcinoma
GSE28821	GSM713814	GPL570	invasive mammary carcinoma
GSE28821	GSM713815	GPL570	invasive mammary carcinoma
GSE28821	GSM713816	GPL570	invasive mammary carcinoma
GSE28821	GSM713817	GPL570	invasive mammary carcinoma
GSE28821	GSM713818	GPL570	invasive mammary carcinoma
GSE28821	GSM713819	GPL570	invasive mammary carcinoma
GSE28821	GSM713820	GPL570	invasive mammary carcinoma
GSE28821	GSM713821	GPL570	invasive mammary carcinoma
GSE28821	GSM713822	GPL570	invasive mammary carcinoma
