Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE45255	endocrine_0=no_1=yes	 0,  1,  NA	3
GSE45255	er_status	ER-, ER+, NA	3
GSE45255	her2_status	He-, He+, NA	3
GSE45255	histological_grade	G1, G2, G3, NA	4
GSE45255	histology	invasive ductal and lobular carcinoma, invasive ductal carcinoma, invasive ductal carcinoma and papillary carcinoma, invasive lobular carcinoma, medullary carcinoma, mucinous carcinoma, papillary carcinoma, NA	8
GSE45255	ln_status	LN-, LN+	2
GSE45255	pgr_status	PgR-, PgR+, NA	3
GSE45255	Platform_ID	GPL96	1
GSE45255	treatment_type	AC, ACx3/CMFx1, ACx4, ACx4 cycles, ACx4; Arimidex/Tamoxifen, ACx4; Tamoxifen, ACx6; Tamoxifen, ACx8 cycles; taxol, anastrozole;taxol, Arimidex/Tamoxifen, Arimidex+CMFx2 cycles, CAF, CAFx6 cycles, CMF, CMFx2; Tamoxifen, CMFx6, CMFx6; Arimidex/Tamoxifen, CMFx6; Tamoxifen, ECx4; Tamoxifen, none, Tam+AC, Tam+ACx4 cycles, Tam+ACx8;taxol, Tam+CAFx2 cycles, Tam+CAFx6 cycles, Tam+CMFx6 cycles, tamoxifen, Tamoxifen, tamoxifen;goserelin, Tamoxifen+Zoledronic acid, NA	31
GSE45255	adjuvant_treated_0_no_1_yes	0, 1, NA	3
GSE45255	chemo_0_no_1_yes	0, 1, NA	3
GSE45255	dfs_event_defined_as_any_type_of_recurrence_or_death_from_breast_cancer	0, 1, NA	3
GSE45255	dmfs_event_defined_as_distant_metastasis_or_death_from_breast_cancer	0, 1, NA	3
GSE45255	dss_event_defined_as_death_from_breast_cancer	0, 1, NA	3
