Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE16391	Platform_ID	GPL570	1
GSE16391	adj_neoadj_chemotherapy_received	0, 1	2
GSE16391	case_control_0_case_1_control	0, 1, NA	3
GSE16391	ER_PgR_ER+/PgR+_=_1_ER+/PgR-=_2	1, 2	2
GSE16391	her2_status	0, 1, NA	3
GSE16391	local_therapy_BCS/RT_=_1_BCS/no_RT_=_2_Mx/RT_=_3	1, 2, 3, 4	4
GSE16391	node_node_negative_=_0_node_positive_=_1	0, 1	2
GSE16391	treatment_Letrozol_=_0_Tamoxifen_=_1	0, 1	2
GSE16391	tumor_grade	1, 2, 3	3
GSE16391	tumor_size_<=_2cm_=_1_>_2cm_=2	1, 2	2
