Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE20194	er_status	N, P	2
GSE20194	her2_fish	0, 0.54, 0.68, 0.69, 0.7, 0.71, 0.78, 0.79, 0.81, 0.82, 0.83, 0.86, 0.87, 0.88, 0.89, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.986, 0.99, 1, 1.01, 1.02, 1.04, 1.05, 1.06, 1.07, 1.08, 1.09, 1.1, 1.11, 1.12, 1.14, 1.15, 1.16, 1.17, 1.18, 1.19, 1.2, 1.21, 1.22, 1.23, 1.25, 1.27, 1.29, 1.3, 1.32, 1.36, 1.39, 1.42, 1.47, 1.5, 1.55, 1.6, 1.63, 1.67, 1.7, 1.88, 1.9, 1.95, 10.36, 10.56, 10.7, 2, 2.5, 2.67, 2.71, 2.98, 20, 3, 3.49, 3.6, 3.64, 4.26, 4.5, 4.59, 4.8, 5.23, 5.5, 5.75, 6, 6.1, 6.25, 7, 7.25, 7.55, 7.81, 8, 8.77, 8.9, 9.01, 9.09, 9.26, 9.43, 9.52, ND, NA	102
GSE20194	her2_ihc	0, 1, 1+, 2, 2+, 3, ND, NEG, NA	9
GSE20194	her2_status	N, P	2
GSE20194	histology	IC/DCIS, IDC, IDC + DCIS, IDC, medullary features, IDC/anaplastic, IDC/DCIS, IDC/IBC, IDC/ILC, IDC/ILC/DCIS, IDC/ILC/LCIS, IDC/LDC, IDC+DCIS, IDC+ILC, ILC, ILC/IDC, IMC, IMC/IDC, NA	18
GSE20194	pcr_vs_rd	pCR, RD	2
GSE20194	Platform_ID	GPL96	1
GSE20194	pr_status	N, P	2
GSE20194	race	asian, black, hispanic, mixed, white, NA	6
GSE20194	treatment_code	FAC, FACT, FACT+XRT/X, FEC, FECT, TFAC, TFAC/HT, TFEC, TH/FAC, TH/FEC, Tonly, TXFAC, NA	13
GSE20194	treatments_comments	00-005: Taxol 80 mg/m2.q weekly x 12, FAC X 4, 00-005:Taxol 100 mg/m2 x10, FAC X 6, 00-005:Taxol 100mg/m2.q weekly x10, FAC X 4., 00-005:Taxol weekly x 12,FAC X 5, 12 pACLITAXEL + 4FAC, 12 PACLITAXEL + 4FAC, 12 PACLITAXEL +4FAC, 12 PACLITAXEL+ 4 FAC, 98-240 Taxol (150 mg q weekly) x12, FAC x4, 98-240 Taxol (225 mg q 3 wk) x 4, FAX x4, 98-240 Taxol (225 mg/m2) x4, FAX x4, 98-240 Taxol (225mg/m2 q 3 wk), FAC x4, 98-240 Taxol (80mg/m2 q wk), FAC x4, 98-240 Taxol 225mg/m2 x 4, FAC x 4, 98-240 Taxol 225mg/m2 x 4, FAC x4, 98-240 Taxol 80mg/m2 x 12, FAC x 4, 98-240: Taxol q 3wk (225mg/m2) x 4, FAC x4, 98-240: Taxol q 3wk (225mg/m2) x4, Fac x4, 98-240: Taxol q 3wk (225mg/m2) x4, FAC x4, 98-240: Taxol q wk (150mg/m2) x12, FAC x4, 98-240: Taxol q wk (80g/m2) x12, FAC x4, 98-240: Taxol q wk (80mg/m2) x12, FAC x4, 98-240: Taxol q3 wk (225mg/m2) x4, FAC x4, 98-240: Taxol qwk (150mg/m2) x12, FACx4, 99-146: Taxol 225mg/m2 q.3 week x 4, FAC x4, 99-146:Taxol weekly x 12, FACX 4, 99-146:Taxol weeklyx 12, FAC x 4, FAC x 3 (no response) Taxol x 8 (no response), FAC x 4 Taxol x 12, FAC x 4 Taxol x12, FAC x 4 Taxol x12 (Abraxene), FAC X 4, Taxol weekly x 12, FAC x 4(d/t N.C) Taxol x 6 (d/t severe Fatigue) (FAC resistance & pCR at the end), FAC x 6, FAC x 6 Taxol  x 12 /  XRT+ Xeloda (as a neo-adj setting), FAC x 6 Taxol x 12, FAC, X 4, TAXOL X 4, FEC x 3 ( d/t N.C)Taxol x 12, FEC x 3 (N.C) Taxol x 12, FEC x 4, FEC x 4  Taxol x 12, FEC x 4 , PACLITAXELx (12 ), FEC x 5 (d/t NC) switch to Taxol x 10 (Pt missed two doses), FEC x 6 (P.D “new supra & infraclavicular Ln”)Taxol x 12, FEC X3, Taxol 80 mg/m2 x12, PACLITAXEL x ( ), FEC x ( ), PACLITAXEL x (12 ), FAC x (4 ), PACLITAXEL x (12), FAC x ( 4), PACLITAXEL x 11, FAC x 4, PACLITAXEL x 12, FAC x 4, PACLITAXEL x 12, FAC x 6, PACLITAXEL x 12, FEC x 4, PACLITAXEL x 7 , FAC x 4, PACLITAXEL x 8 , FEC x 4, PACLITAXEL x12 FACx 3, Tamoxifen x 2 weeks  Taxol x 12 FAC x 4, Taxol  x 12  FAC  x 4, Taxol (100mg/m2 weekly) x12, FAC x4, Taxol (150 mg q weekly) x12, FAC x4, Taxol (80 mg q weekly) x12, FAC, Taxol 100 g/m2 weekly x 12, FAC x 4, Taxol 100 mg/m2 x 12, FAC X 4, Taxol 100 weekly X 12, FAC X 6, Taxol 100mg/2 q wk x 12, FAC x4, Taxol 100mg/m2 x 12, FAC X 4, Taxol 100mg/m2 x 12Herceptin, FAC X 6, Taxol 100mg/m2.q weekly x 12, Trastuzumab, FAC X 4, Taxol 100mg/m2.q.weekly x 12,, Taxol 225 mg/m2 x4, FAC x4, Taxol 225 x 4, FEC x 4, Taxol 80 mg/m2 weekly / FAC x4, Taxol 80 mg/m2 weekly off study for PD, Taxol 80 mg/m2 weekly x12 FAC x4, Taxol 80 mg/m2 weekly x12, FAC, Taxol 80 mg/m2 weekly x12, FAC x1, Taxol 80 mg/m2 weekly x12, FAC x4, Taxol 80 mg/m2 weekly x12, FACx 3, Taxol 80 mg/m2 x12 , FAC X4, Taxol 80 mg/m2 x12 , FAC X6, Taxol 80 mg/m2 x12 , FEC X4, Taxol 80 mg/m2 x12, FAC X 4, Taxol 80 mg/m2 x12, FEC X 4, Taxol 80 mg/m2.q weekly x 12, FEC X 4, Taxol 80 weekly x 11, FACx4, Taxol 80 weekly X 12, FAC X 6, Taxol 80 weekly x 12, FAC x4, Taxol 80 weekly x12 , FAC x 6, Taxol 80mg/m2 weekly x 12, FAC x 4, Taxol 80mg/m2 x 12, FAC X 4, Taxol 80mg/m2. q weekly x 12, FAC X 4, Taxol 80mg/m2.q weekly x 12, FAC X 4, Taxol 80mg/m2.q.weekly x12, FAC X 4, Taxol q 3wk (225mg/m2) x 4, FAC x4, Taxol q 3wk (225mg/m2) x4, FAC x4, Taxol q wk (150mg/m2) x12, Fac x5, Taxol q wk (80mg/m2) x 12, No FAC!, Taxol q.3 week x 4 FAC x 4, Taxol q.3 week x 4 FEC  x 4, Taxol q3wk (225mg/m2) x 4, NO FAC, Taxol x   12 FEC x  4, Taxol x  12  FAC x 4, Taxol x  12 FAC x  4, Taxol x  12 FEC x  4, Taxol x 10 (D/T  N.C swith to) FAC x 4, Taxol x 10 (D/T severe low ANC) FEC x4, Taxol x 11 ( one dose missed & no repleced) FEC x 4, Taxol x 12   FAC x 2  ( d/t CVC infection ), Taxol x 12   FAC x 4, Taxol x 12  FAC x 4, Taxol x 12  FAC x 6, Taxol x 12  FEC x 4, Taxol x 12  FEC x4, Taxol x 12 FAC x  6, Taxol x 12 FAC x 2 (D/T severe allergic reaction), Taxol x 12 FAC x 4, Taxol x 12 FAC x 6, Taxol x 12 FAC x4, Taxol x 12 FEC x  4, Taxol x 12 FEC x 4, Taxol x 12 FEC x4, Taxol x 13 FAC x 3(d/t cardiotox)   Anastrozole  x 3 Moths, Taxol x 4 FEC x 4, Taxol x 6 (d/t P.D)   FAC x 4, Taxol x 8 ( d/t NC) FAC x 3 (d/t PD) Xeloda (1) Letrozole + Gleevec (PD) +XRT (rt breast, bi-supra and IMC w/ xeloda), Taxol x 9 (d/t severe parestesias)    FACx 2 (d/t Cholecystiitis + Sx), Taxol x 9 (P.D)  FAC x 8 (P.D) - No Sx, Taxol x12 FAC x 4, Taxol x12 FAC x4, Taxol x12 FEC x 4, Taxol/FEC+Herceptin: updated from(PACLITAXEL x 12, FEC x 4), Taxol/Herceptin+FAC: updated from(PACLITAXEL x 12, FEC x 4), NA	132
GSE20194	bmngrd	1, 2, 3, NA	4
