Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE25055	chemosensitivity_prediction	Rx Insensitive, Rx Sensitive	2
GSE25055	clinical_ajcc_stage	I, IIA, IIB, IIIA, IIIB, IIIC, Inflammatory	7
GSE25055	clinical_nodal_status	N0, N1, N2, N3	4
GSE25055	clinical_t_stage	T0, T1, T2, T3, T4	5
GSE25055	er_status_ihc	I, N, P, NA	4
GSE25055	er_status_ihc_esr1_for_indeterminate	N, P	2
GSE25055	erbb2_status	N, P	2
GSE25055	esr1_status	N, P	2
GSE25055	grade	1, 2, 3, 4=Indeterminate, NA	5
GSE25055	her2_status	I, N, P, NA	4
GSE25055	pam50_class	Basal, Her2, LumA, LumB, Normal	5
GSE25055	pathologic_response_pcr_rd	pCR, RD, NA	3
GSE25055	pathologic_response_rcb_class	RCB-0/I, RCB-II, RCB-III, NA	4
GSE25055	Platform_ID	GPL96	1
GSE25055	pr_status_ihc	I, N, P, NA	4
GSE25055	rcb_0_i_prediction	RCB-0/I, RCB-II/III	2
GSE25055	source	ISPY, MDACC	2
GSE25055	drfs_1_event_0_censored	0, 1	2
