Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE2603	her2_status	0-1, 1+, 1+ (only 1 core pos.), 2+, 3+, N, NA	7
GSE2603	path_er_status	N, P, NA	3
GSE2603	path_pr_status	N, P, NA	3
GSE2603	Platform_ID	GPL96	1
GSE2603	tissue_type	Breast cancer cell line, Breast cancer cell line MDA-MB-231, in vivo selected subpopulation of MDA-MB-231, MDA-MB-231 breast cancer cell line, Subpopulation of MDA-MB-231, NA	6
GSE2603	vant_veer_signature	Bad Prognosis, Good Prognosis, NA	3
GSE2603	binary_5y_met_event	0, 1, NA	3
GSE2603	bm_event	0, 1, NA	3
GSE2603	lm_event	0, 1, NA	3
GSE2603	met_event	0, 1, NA	3
