Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE19615	adjuvant_chemotherapy	AC x 2, Taxol, AC x 4, AC-taxol, AC-taxol.taxotere, AC-taxol(x1), AC-taxol/Herceptin, AC-taxotere, CAF, CMF, Epirubicin, Cytoxan, Xeloda, none, Unknown	12
GSE19615	chemo_class	Anthracycline-based, none, Other, Trastuzumab, Unknown	5
GSE19615	distant_recur_yn	N, Y	2
GSE19615	er	neg, pos, pos-low	3
GSE19615	grade_modified_bloom_richardson	I, II, III	3
GSE19615	her_2	low pos (2+), neg, pos (3+)	3
GSE19615	histology_type	Ductal, Lobular, Mixed	3
GSE19615	hormonal_rx	Arimidex, none, Tam, unknown	4
GSE19615	lymph_nodes	negative, pos.micromet, positive	3
GSE19615	Platform_ID	GPL570	1
GSE19615	pr	neg, pos, pos-low	3
GSE19615	tumor_recurrence_36mo	no, yes	2
