Dataset_ID	Variable	Unique_Summary	Num_Unique
GSE20271	biopsy_date_mmddyy	1-12-05, 1-12-06, 1-13-05, 1-13-06, 1-15-04, 1-21-05, 1-25-06, 1-26-05, 1-26-06, 1-28-05, 1-29-04, 1-3-06, 1-30-06, 1-31-05, 1-4-06, 1-5-05, 10-1-06, 10-12-05, 10-14-05, 10-15-04, 10-17-05, 10-20-04, 10-20-05, 10-23-03, 10-25-04, 10-26-05, 10-28-05, 10-3-05, 10-3-06, 10-31-03, 10-4-04, 10-8-03, 11-1-06, 11-11-05, 11-14-05, 11-19-03, 11-20-03, 11-25-05, 11-29-04, 11-3-04, 11-30-05, 11-4-03, 11-4-06, 11-9-05, 12-12-03, 12-14-04, 12-14-05, 12-16-05, 12-19-03, 12-19-05, 12-20-05, 12-21-05, 12-23-04, 12-30-05, 12-6-05, 12-9-05, 2-1-06, 2-13-06, 2-16-06, 2-17-06, 2-2-05, 2-20-04, 2-22-06, 2-23-06, 2-24-03, 2-24-06, 2-27-06, 2-8-05, 2-9-06, 3-1-05, 3-14-06, 3-15-04, 3-15-06, 3-2-04, 3-20-06, 3-29-06, 3-30-04, 4-11-05, 4-11-06, 4-12-05, 4-15-05, 4-19-04, 4-2-04, 4-24-06, 4-26-06, 4-3-06, 4-7-05, 4-8-04, 5-13-05, 5-15-06, 5-18-05, 5-22-06, 5-24-04, 5-25-05, 5-26-06, 5-27-05, 5-4-04, 5-5-04, 5-5-05, 5-8-05, 6-10-04, 6-13-05, 6-16-05, 6-16-06, 6-20-05, 6-27-00, 6-29-05, 6-4-06, 6-9-06, 7-13-05, 7-2-06, 7-20-04, 7-21-04, 7-21-05, 7-27-04, 7-29-05, 7-3-04, 7-6-05, 7-8-04, 7-8-05, 7-9-05, 8-1-06, 8-10-04, 8-10-05, 8-15-05, 8-16-04, 8-16-05, 8-17-05, 8-19-05, 8-2-04, 8-26-05, 8-3-05, 8-3-06, 8-30-04, 8-30-05, 8-31-05, 8-5-04, 8-8-05, 9-1-04, 9-16-05, 9-19-05, 9-23-05, 9-24-04, 9-3-04, 9-6-05, 9-8-04, 9-9-05	147
GSE20271	er_percent_positive	0, 1, 10, 100, 15, 2+, 20, 25, 25-50, 3, 3+, 30, 31, 40, 5, 50, 60, 68, 70, 75, 80, 85, 90, 91, 95, NA	26
GSE20271	er_status	N, P	2
GSE20271	her_2_fish	0, 0.77, 0.83, 0.86, 0.87, 0.88, 0.92, 0.93, 0.96, 0.97, 1, 1.02, 1.04, 1.05, 1.08, 1.09, 1.1, 1.12, 1.17, 1.18, 1.25, 1.26, 1.27, 1.29, 1.3, 1.32, 1.35, 1.41, 1.5, 1.6, 1.63, 1.65, 1.66, 1.74, 10.36, 10.81, 2.4, 2.67, 4.7, 6, 8, 9.26, ND, positive, NA	45
GSE20271	her_2_status	N, P	2
GSE20271	histology	IDC, IDC/IBC, IDC/ILC, ILC, ILC/IDC, infiltrating Ductal Carcinoma, Infiltrating Ductal Carcinoma, Infiltrating Lobular Carcinoma, infiltrating Mucosecretor Carcinoma, Inflitrating Lobular Carcinoma, Mixed; Ductal and Lobular, Only Infiltrating	12
GSE20271	pcr_or_rd	pCR, RD	2
GSE20271	Platform_ID	GPL96	1
GSE20271	post_chemo_ln_total	0, 0/0, 0/1, 0/10, 0/11, 0/12, 0/13, 0/14, 0/15, 0/16, 0/17, 0/18, 0/19, 0/2, 0/20, 0/21, 0/23, 0/24, 0/26, 0/29, 0/3, 0/36, 0/4, 0/5, 0/6, 0/7, 0/8, 1/1, 1/10, 1/11, 1/12, 1/13, 1/14, 1/15, 1/16, 1/18, 1/2, 1/21, 1/31, 1/38, 1/5, 1/7, 10/12, 10/13, 10/31, 11/14, 11/15, 11/17, 11/18, 12/16, 14/16, 14/18, 15/20, 17/22, 17/30, 18/20, 2/10, 2/15, 2/16, 2/18, 2/20, 2/23, 2/24, 2/25, 2/28, 2/30, 2/7, 2/9, 21/21, 21/24, 25/34, 27/28, 3/10, 3/11, 3/15, 3/20, 3/21, 3/24, 3/25, 3/6, 4/10, 4/18, 4/25, 4/6, 5/12, 5/16, 5/17, 5/9, 6/10, 6/13, 6/18, 6/19, 6/23, 6/7, 6/9, 7/17, 8/12, 8/14, 8/21, 8/43, 9/16, 9/22, ND, NA	104
GSE20271	post_chemo_size_cm	0, 0.2, 0.26, 0.3, 0.5, 0.7, 0.8, 1, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 10, 12, 12.5, 2, 2.1, 2.2, 2.3, 2.5, 2.8, 2.9, 3, 3.2, 3.3, 3.4, 3.5, 3.8, 4, 4.5, 5, 7.2, 8, ND, Not medible, residual cancer, NA	42
GSE20271	pr_percent_positive	0, 1, 10, 100, 2, 2+, 20, 25, 25-50, 3, 30, 4, 4.9, 40, 5, 50, 60, 70, 75, 80, 9, 90, 95, 99, NA	25
GSE20271	pr_status	N, P	2
